strain	kingdom	phylum	class	order	family	genus	species	taxon_lineage_ids	taxon_lineage_names	NCBI_refseq_accession	NCBI_taxon_identifier	organism	full_scientific_name	plasmids	genome_length	sequencing_platform	genome_status
TOL2|DSM 7467	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfobacula	Desulfobacula toluolica	131567|2|1224|68525|28221|213118|213119|28222|28223|651182	cellular organisms|Bacteria|Proteobacteria|delta/epsilon subdivisions|Deltaproteobacteria|Desulfobacterales|Desulfobacteraceae|Desulfobacula|Desulfobacula toluolica|Desulfobacula toluolica Tol2	NC_018645.1	651182	Desulfobacula toluolica	Desulfobacula toluolica Tol2	0	5197905	AB 3730xL Genetic Analyzer	Complete
SB164P1|DSM 10523	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	Desulfocapsa	Desulfocapsa sulfexigens	131567|2|1224|68525|28221|213118|213121|53318|65555|1167006	cellular organisms|Bacteria|Proteobacteria|delta/epsilon subdivisions|Deltaproteobacteria|Desulfobacterales|Desulfobulbaceae|Desulfocapsa|Desulfocapsa sulfexigens|Desulfocapsa sulfexigens DSM 10523	NC_020304.1|NC_020305.1	1167006	Desulfocapsa sulfexigens	Desulfocapsa sulfexigens DSM 10523	1	4023512	AB 3730 Genetic Analyzer|454 GS FLX Titanium	Complete
MI-1	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Desulfotomaculum	Desulfotomaculum reducens	131567|2|1783272|1239|186801|186802|186807|1562|59610|349161	cellular organisms|Bacteria|Terrabacteria group|Firmicutes|Clostridia|Clostridiales|Peptococcaceae|Desulfotomaculum|Desulfotomaculum reducens|Desulfotomaculum reducens MI-1	NC_009253.1	349161	Desulfotomaculum reducens	Desulfotomaculum reducens MI-1	0	3608104	missing	Complete
DSM 2638|ATCC 14822|NCIB 8403|VKM B-1763	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio salexigens	131567|2|1224|68525|28221|213115|194924|872|880|526222	cellular organisms|Bacteria|Proteobacteria|delta/epsilon subdivisions|Deltaproteobacteria|Desulfovibrionales|Desulfovibrionaceae|Desulfovibrio|Desulfovibrio salexigens|Desulfovibrio salexigens DSM 2638	NC_012881.1	526222	Desulfovibrio salexigens	Desulfovibrio salexigens DSM 2638	0	4289847	missing	Complete
BSA|DSM 11699	Bacteria	Aquificae	Aquificae	Desulfurobacteriales	Desulfurobacteriaceae	Desulfurobacterium	Desulfurobacterium thermolithotrophum	131567|2|200783|187857|1485951|558314|64159|64160|868864	cellular organisms|Bacteria|Aquificae|Aquificae|Desulfurobacteriales|Desulfurobacteriaceae|Desulfurobacterium|Desulfurobacterium thermolithotrophum|Desulfurobacterium thermolithotrophum DSM 11699	NC_015185.1	868864	Desulfurobacterium thermolithotrophum	Desulfurobacterium thermolithotrophum DSM 11699	0	1541968	Illumina Genome Analyzer II|454 GS FLX Titanium	Complete
DFL 12|DSM 16493|NCIMB 14021	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Dinoroseobacter	Dinoroseobacter shibae	131567|2|1224|28211|204455|31989|309512|215813|398580	cellular organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae|Dinoroseobacter|Dinoroseobacter shibae|Dinoroseobacter shibae DFL 12 = DSM 16493	NC_009952.1|NC_009956.1|NC_009957.1|NC_009958.1|NC_009959.1|NC_009955.1	398580	Dinoroseobacter shibae	Dinoroseobacter shibae DFL 12	5	4417868	missing	Complete
PAT|DSM 9799|KCTC 23876|CCM 4581	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Ferrimonadaceae	Ferrimonas	Ferrimonas balearica	131567|2|1224|1236|135622|267892|44011|44012|550540	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales|Ferrimonadaceae|Ferrimonas|Ferrimonas balearica|Ferrimonas balearica DSM 9799	NC_014541.1	550540	Ferrimonas balearica	Ferrimonas balearica DSM 9799	0	4279159	AB 3730 Genetic Analyzer	Complete
DSM 10642|AEDII12DO	Archaea	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Ferroglobus	Ferroglobus placidus	131567|2157|28890|183980|2231|2232|54260|54261|589924	cellular organisms|Archaea|Euryarchaeota|Archaeoglobi|Archaeoglobales|Archaeoglobaceae|Ferroglobus|Ferroglobus placidus|Ferroglobus placidus DSM 10642	NC_013849.1	589924	Ferroglobus placidus	Ferroglobus placidus DSM 10642	missing	2196270	Illumina Genome Analyzer II|454 GS FLX Titanium	Complete
CSF259-93	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium psychrophilum	131567|2|1783270|68336|976|117743|200644|49546|237|96345	cellular organisms|Bacteria|FCB group|Bacteroidetes/Chlorobi group|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Flavobacterium|Flavobacterium psychrophilum	NZ_CP007627.1	96345	Flavobacterium psychrophilum	Flavobacterium psychrophilum strain CSF259-93	missing	2900735	Sanger	Complete
V3-5	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium psychrophilum	131567|2|1783270|68336|976|117743|200644|49546|237|96345	cellular organisms|Bacteria|FCB group|Bacteroidetes/Chlorobi group|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Flavobacterium|Flavobacterium psychrophilum	NZ_CP008878.1	96345	Flavobacterium psychrophilum	Flavobacterium psychrophilum V3-5	missing	2698020	Illumina	Complete
V4-24	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium psychrophilum	131567|2|1783270|68336|976|117743|200644|49546|237|96345	cellular organisms|Bacteria|FCB group|Bacteroidetes/Chlorobi group|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Flavobacterium|Flavobacterium psychrophilum	NZ_CP008881.1	96345	Flavobacterium psychrophilum	Flavobacterium psychrophilum V4-24	missing	2684585	Illumina	Complete
V4-33	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium psychrophilum	131567|2|1783270|68336|976|117743|200644|49546|237|96345	cellular organisms|Bacteria|FCB group|Bacteroidetes/Chlorobi group|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Flavobacterium|Flavobacterium psychrophilum	NZ_CP008883.1	96345	Flavobacterium psychrophilum	Flavobacterium psychrophilum v4-33	missing	2699386	Illumina	Complete
Fx l1|Sio-4|DSM 6794|ATCC 23117|IFO 15988|NBRC 15988	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Flexibacter	Flexibacter litoralis	131567|2|1783270|68336|976|768503|768507|89373|992|999|880071	cellular organisms|Bacteria|FCB group|Bacteroidetes/Chlorobi group|Bacteroidetes|Cytophagia|Cytophagales|Cytophagaceae|Flexibacter|Flexibacter litoralis|Flexibacter litoralis DSM 6794	NC_018018.1	880071	Flexibacter litoralis	Flexibacter litoralis DSM 6794	0	4919337	454 GS|Illumina	Complete
MAS10|DSM 4947|ATCC 49648	Bacteria	Deferribacteres	Deferribacteres	Deferribacterales	Deferribacteraceae	Flexistipes	Flexistipes sinusarabici	131567|2|200930|68337|191393|191394|2351|2352|717231	cellular organisms|Bacteria|Deferribacteres|Deferribacteres|Deferribacterales|Deferribacteraceae|Flexistipes|Flexistipes sinusarabici|Flexistipes sinusarabici DSM 4947	NC_015672.1	717231	Flexistipes sinusarabici	Flexistipes sinusarabici DSM 4947	0	2526590	Illumina Genome Analyzer II|454 GS FLX Titanium	Complete
SBH6|DSM 21716| VKM B-2522	Archaea	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Geoglobus	Geoglobus acetivorans	131567|2157|28890|183980|2231|2232|190818|565033	cellular organisms|Archaea|Euryarchaeota|Archaeoglobi|Archaeoglobales|Archaeoglobaceae|Geoglobus|Geoglobus acetivorans	NZ_CP009552.1	565033	Geoglobus acetivorans	Geoglobus acetivorans SBH6	missing	1860815	454 GS FLX	Complete
4H-3-7+YE-5	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Glaciecola	Glaciecola sp. 4H-3-7+YE-5	131567|2|1224|1236|135622|72275|89404|983545	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales|Alteromonadaceae|Glaciecola|Glaciecola sp. 4H-3-7+YE-5	NC_015497.1|NC_015498.1	983545	Glaciecola	Glaciecola sp. 4H-3-7+YE-5	1	5393591	Illumina|454 GS	Complete
KT0803|DSM 17595	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Gramella	Gramella forsetii	131567|2|1783270|68336|976|117743|200644|49546|292691|411153|411154	cellular organisms|Bacteria|FCB group|Bacteroidetes/Chlorobi group|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Gramella|Gramella forsetii|Gramella forsetii KT0803	NC_008571.1	411154	Gramella forsetii	Gramella forsetii KT0803	0	3798465	AB 3730xL Genetic Analyzer	Complete
Y-27|Y.27|CGMCC 1.2049|ATCC 33960|DSM 4426|JCM 8911|NBRC 102182|NCIMB 2187|VKM B-1755	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Haloarcula	Haloarcula hispanica	131567|2157|28890|183963|2235|2236|2237|51589|634497	cellular organisms|Archaea|Euryarchaeota|Halobacteria|Halobacteriales|Halobacteriaceae|Haloarcula|Haloarcula hispanica|Haloarcula hispanica ATCC 33960	NC_015948.1|NC_015943.1|NC_015944.1	634497	Haloarcula hispanica	Haloarcula hispanica ATCC 33960	1	3890000	454 GS FLX|AB 3730xL Genetic Analyzer	Complete
R-4|DSM 1411|ATCC 33500|CCM 3361|CGMCC 1.2087	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloferax	Haloferax mediterranei	131567|2157|28890|183963|1644055|1644056|2251|2252|523841	cellular organisms|Archaea|Euryarchaeota|Halobacteria|Haloferacales|Haloferacaceae|Haloferax|Haloferax mediterranei|Haloferax mediterranei ATCC 33500	NZ_CP007551.1|NZ_CP007552.1|NZ_CP007553.1|NZ_CP007554.1	523841	Haloferax mediterranei	Haloferax mediterranei ATCC 33500	3	3906700	454 GS FLX|Sanger	Complete
C23|DSM 16854|JCM 12705	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloquadratum	Haloquadratum walsbyi	131567|2157|28890|183963|1644055|1644056|293431|293091|768065	cellular organisms|Archaea|Euryarchaeota|Halobacteria|Haloferacales|Haloferacaceae|Haloquadratum|Haloquadratum walsbyi|Haloquadratum walsbyi C23	NC_017459.1|NC_017460.1|NC_017457.1|NC_017458.1	768065	Haloquadratum walsbyi	Haloquadratum walsbyi C23	3	3260480	454 GS FLX	Complete
SARL4B|DSM 18392|JCM 14471	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halorhabdus	Halorhabdus tiamatea	131567|2157|28890|183963|2235|2236|146825|430914|1033806	cellular organisms|Archaea|Euryarchaeota|Halobacteria|Halobacteriales|Halobacteriaceae|Halorhabdus|Halorhabdus tiamatea|Halorhabdus tiamatea SARL4B	NC_021921.1|NC_021913.1	1033806	Halorhabdus tiamatea	Halorhabdus tiamatea SARL4B	1	3146160	missing	Complete
MH2|DSM 10411|ATCC 700847	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfurellales	Desulfurellaceae	Hippea	Hippea maritima	131567|2|1224|68525|28221|213113|117942|84404|84405|760142	cellular organisms|Bacteria|Proteobacteria|delta/epsilon subdivisions|Deltaproteobacteria|Desulfurellales|Desulfurellaceae|Hippea|Hippea maritima|Hippea maritima DSM 10411	NC_015318.1	760142	Hippea maritima	Hippea maritima DSM 10411	0	1694430	Illumina Genome Analyzer II|454 GS FLX Titanium	Complete
IFAM 1418|ATCC 49814|DSM 5838|KCTC 12471	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Hyphomonadaceae	Hirschia	Hirschia baltica	131567|2|1224|28211|204455|69657|2723|2724|582402	cellular organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Hyphomonadaceae|Hirschia|Hirschia baltica|Hirschia baltica ATCC 49814	NC_012982.1|NC_012983.1	582402	Hirschia baltica	Hirschia baltica ATCC 49814	1	3540114	Illumina Genome Analyzer II|454 GS FLX Titanium	Complete
14-15|ATCC 15444|DSM 5154| IFAM LE670	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Hyphomonadaceae	Hyphomonas	Hyphomonas neptunium	131567|2|1224|28211|204455|69657|85|81032|228405	cellular organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Hyphomonadaceae|Hyphomonas|Hyphomonas neptunium|Hyphomonas neptunium ATCC 15444	NC_008358.1	228405	Hyphomonas neptunium	Hyphomonas neptunium ATCC 15444	0	3705021	Sanger	Complete
Kol8|DSM 13165|ATCC 700957	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Ignicoccus	Ignicoccus islandicus	131567|2157|1783275|28889|183924|114380|2272|54258|54259|940295	cellular organisms|Archaea|TACK group|Crenarchaeota|Thermoprotei|Desulfurococcales|Desulfurococcaceae|Ignicoccus|Ignicoccus islandicus|Ignicoccus islandicus DSM 13165	NZ_CP006867.1	940295	Ignicoccus islandicus	Ignicoccus islandicus DSM 13165	missing	1394664	Sanger dideoxy sequencing|454|Illumina	Complete
YM16-304|NBRC 103263|KCTC 29153	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Acidimicrobiaceae	Ilumatobacter	Ilumatobacter coccineus	131567|2|1783272|201174|84992|84993|84994|682522|467094|1313172	cellular organisms|Bacteria|Terrabacteria group|Actinobacteria|Acidimicrobiia|Acidimicrobiales|Acidimicrobiaceae|Ilumatobacter|Ilumatobacter coccineus|Ilumatobacter coccineus YM16-304	NC_020520.1	1313172	Ilumatobacter coccineum	Ilumatobacter coccineum YM16-304	0	4830181	AB 3730xL Genetic Analyzer	Complete
CuHBu1|DSM 2926|ATCC 51220|LMG 16218	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Ilyobacter	Ilyobacter polytropus	131567|2|32066|203490|203491|203492|167639|167642|572544	cellular organisms|Bacteria|Fusobacteria|Fusobacteriia|Fusobacteriales|Fusobacteriaceae|Ilyobacter|Ilyobacter polytropus|Ilyobacter polytropus DSM 2926	NC_014632.1|NC_014633.1|NC_014634.1	572544	Ilyobacter polytropus	Ilyobacter polytropus DSM 2926	2	3132314	Illumina Genome Analyzer II|454 GS FLX Titanium	Complete
CCS1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Jannaschia	Jannaschia sp. CCS1	131567|2|1224|28211|204455|31989|188905|290400	cellular organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae|Jannaschia|Jannaschia sp. CCS1	NC_007802.1|NC_007801.1	290400	Jannaschia	Jannaschia sp. CCS1	1	4404049	missing	Complete
D5|DSM 28777| KCTC 33550	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Jeotgalibacillus	Jeotgalibacillus malaysiensis	131567|2|1783272|1239|91061|1385|186818|157226|1508404	cellular organisms|Bacteria|Terrabacteria group|Firmicutes|Bacilli|Bacillales|Planococcaceae|Jeotgalibacillus|Jeotgalibacillus sp. D5	NZ_CP009416.1|NZ_CP009417.1	1508404	Jeotgalibacillus	Jeotgalibacillus sp. D5	1	4119509	PacBio RS II	Complete
TBF 19.5.1|DSM 21960|ATCC BAA-1733	Bacteria	Thermotogae	Thermotogae	Kosmotogales	Kosmotogaceae	Kosmotoga	Kosmotoga olearia	131567|2|200918|188708|1643946|1643948|651456|651457|521045	cellular organisms|Bacteria|Thermotogae|Thermotogae|Kosmotogales|Kosmotogaceae|Kosmotoga|Kosmotoga olearia|Kosmotoga olearia TBF 19.5.1	NC_012785.1	521045	Kosmotoga olearia	Kosmotoga olearia TBF 19.5.1	0	2302126	454 GS FLX|Sanger	Complete
SLHLJ1|DSM 26965|JCM 19180|MCCC 1A00641|UBOCC 3254	Bacteria	Thermotogae	Thermotogae	Kosmotogales	Kosmotogaceae	Kosmotoga	Kosmotoga pacifica	131567|2|200918|188708|1643946|1643948|651456|1330330	cellular organisms|Bacteria|Thermotogae|Thermotogae|Kosmotogales|Kosmotogaceae|Kosmotoga|Kosmotoga pacifica	NZ_CP011232.1	1330330	Kosmotoga pacifica	Kosmotoga pacifica strain SLHLJ1	missing	2169170	454 GS|Illumina	Complete
4H-3-7-5	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Dokdonia	Dokdonia sp. 4H-3-7-5	131567|2|1783270|68336|976|117743|200644|49546|326319|983548	cellular organisms|Bacteria|FCB group|Bacteroidetes/Chlorobi group|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Dokdonia|Dokdonia sp. 4H-3-7-5	NC_015496.1	983548	Krokinobacter	Krokinobacter sp. 4H-3-7-5	0	3389993	Illumina Genome Analyzer II|454 GS FLX Titanium	Complete
541|DSM 20547|ATCC 14392|CCM 314|JCM 11482	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Dermacoccaceae	Kytococcus	Kytococcus sedentarius	131567|2|1783272|201174|1760|85006|145357|57499|1276|478801	cellular organisms|Bacteria|Terrabacteria group|Actinobacteria|Actinobacteria|Micrococcales|Dermacoccaceae|Kytococcus|Kytococcus sedentarius|Kytococcus sedentarius DSM 20547	NC_013169.1	478801	Kytococcus sedentarius	Kytococcus sedentarius DSM 20547	0	2785024	ABI 3730	Complete
5H-3-7-4	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Lacinutrix	Lacinutrix sp. 5H-3-7-4	131567|2|1783270|68336|976|117743|200644|49546|291183|983544	cellular organisms|Bacteria|FCB group|Bacteroidetes/Chlorobi group|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Lacinutrix|Lacinutrix sp. 5H-3-7-4	NC_015638.1	983544	Lacinutrix	Lacinutrix sp. 5H-3-7-4	0	3296168	Illumina Genome Analyzer II|454 GS FLX Titanium	Complete
MC-1|ATCC BAA-143|JCM 17883	Bacteria	Proteobacteria	Alphaproteobacteria	Magnetococcales	Magnetococcaceae	Magnetococcus	Magnetococcus marinus	131567|2|1224|28211|1191478|1191479|162171|1124597|156889	cellular organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Magnetococcales|Magnetococcaceae|Magnetococcus|Magnetococcus marinus|Magnetococcus marinus MC-1	NC_008576.1	156889	Magnetococcus marinus	Magnetococcus marinus MC-1	0	4719581	Sanger	Complete
DG 898|DSM 27768	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Marinovum	Marinovum algicola	131567|2|1224|28211|204455|31989|367771|42444|988812	cellular organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae|Marinovum|Marinovum algicola|Marinovum algicola DG 898	NZ_CP010855.1|NZ_CP010856.1|NZ_CP010857.1|NZ_CP010858.1|NZ_CP010859.1|NZ_CP010860.1| NZ_CP010861.1|NZ_CP010862.1|NZ_CP010863.1|NZ_CP010864.1|NZ_CP010865.1|NZ_CP010866.1	988812	Marinovum algicola	Marinovum algicola DG 898	11	5252390	454 GS FLX Titanium	Complete
H-43|DSM 4126|NBRC 15989|NCIMB 1408|VKM B-1430|ATCC 23168	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Marivirga	Marivirga tractuosa	131567|2|1783270|68336|976|768503|768507|200667|869806|1006|643867	cellular organisms|Bacteria|FCB group|Bacteroidetes/Chlorobi group|Bacteroidetes|Cytophagia|Cytophagales|Flammeovirgaceae|Marivirga|Marivirga tractuosa|Marivirga tractuosa DSM 4126	NC_014750.1|NC_014759.1	643867	Marivirga tractuosa	Marivirga tractuosa DSM 4126	1	4516490	Illumina Genome Analyzer II|454 GS FLX Titanium	Complete
AG86|DSM 4213|JCM 15782	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus	Methanocaldococcus fervens	131567|2157|28890|183939|2182|196117|196118|83171|573064	cellular organisms|Archaea|Euryarchaeota|Methanococci|Methanococcales|Methanocaldococcaceae|Methanocaldococcus|Methanocaldococcus fervens|Methanocaldococcus fervens AG86	NC_013156.1|NC_013157.1	573064	Methanocaldococcus fervens	Methanocaldococcus fervens AG86	1	1507250	missing	Complete
ME|DSM 11812|JCM 15783	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus	Methanocaldococcus infernus	131567|2157|28890|183939|2182|196117|196118|67760|573063	cellular organisms|Archaea|Euryarchaeota|Methanococci|Methanococcales|Methanocaldococcaceae|Methanocaldococcus|Methanocaldococcus infernus|Methanocaldococcus infernus ME	NC_014122.1	573063	Methanocaldococcus infernus	Methanocaldococcus infernus ME	missing	1328190	missing	Complete
M7|DSM 12094	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus	Methanocaldococcus vulcanius	131567|2157|28890|183939|2182|196117|196118|73913|579137	cellular organisms|Archaea|Euryarchaeota|Methanococci|Methanococcales|Methanocaldococcaceae|Methanocaldococcus|Methanocaldococcus vulcanius|Methanocaldococcus vulcanius M7	NC_013407.1|NC_013409.1|NC_013408.1	579137	Methanocaldococcus vulcanius	Methanocaldococcus vulcanius M7	1	1761740	missing	Complete
MM1|DSM 16625	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanococcoides	Methanococcoides methylutens	131567|2157|28890|224756|94695|2206|2225|2226|1434104	cellular organisms|Archaea|Euryarchaeota|Methanomicrobia|Methanosarcinales|Methanosarcinaceae|Methanococcoides|Methanococcoides methylutens|Methanococcoides methylutens MM1	NZ_CP009518.1	1434104	Methanococcoides methylutens	Methanococcoides methylutens MM1	missing	2394636	AB 3730 Genetic Analyzer|454 GS FLX Titanium|Illumina Genome Analyzer IIx|Illumina MiSeq	Complete
A3|ATCC BAA-1334	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus	Methanococcus voltae	131567|2157|28890|183939|2182|2183|2184|2188|456320	cellular organisms|Archaea|Euryarchaeota|Methanococci|Methanococcales|Methanococcaceae|Methanococcus|Methanococcus voltae|Methanococcus voltae A3	NC_014222.1	456320	Methanococcus voltae	Methanococcus voltae A3	missing	1936390	missing	Complete
JR1|ATCC 35101|DSM 1498|OCM 56	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanoculleus	Methanoculleus marisnigri	131567|2157|28890|224756|2191|2194|45989|2198|368407	cellular organisms|Archaea|Euryarchaeota|Methanomicrobia|Methanomicrobiales|Methanomicrobiaceae|Methanoculleus|Methanoculleus marisnigri|Methanoculleus marisnigri JR1	NC_009051.1	368407	Methanoculleus marisnigri	Methanoculleus marisnigri JR1	missing	2478100	AB 3730 Genetic Analyzer	Complete
